,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
12,False,/i6zyJ18xvVvqbN6eUdzgSwlhb8h.jpg,"[9648, 53]",800815,en,The Pale Blue Eye,"West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe",115.001,/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg,2022-12-22,The Pale Blue Eye,False,7.0,1153
13,False,/6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,"[10749, 18]",613504,en,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,101.401,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,2020-09-02,After We Collided,False,7.2,4891
14,False,/epVPiaRsLhJMinNRWUFWMudZ9ba.jpg,[35],109418,en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",94.624,/5vLeJchL3zosBj10CJP1h54xyBs.jpg,2013-07-11,Grown Ups 2,False,6.1,3734
15,False,/kPtN2N9zxXpSSuHVBSyZnRuDjM8.jpg,"[18, 53, 10752]",7445,en,Brothers,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",109.481,/ySXRgHCdelVtvUyHcKGpiQKb052.jpg,2009-01-22,Brothers,False,7.3,2908
16,False,/gNOyIDGW8YY6AYbz6nMvrVSHSXs.jpg,"[16, 12, 10751, 14]",776835,en,The Magician's Elephant,"Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.",152.807,/cAoAgzOCxSytYBqqCQulhXNR3LB.jpg,2023-03-10,The Magician's Elephant,False,7.5,43
17,False,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,"[16, 28, 14, 12]",592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",104.853,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,2019-12-20,My Hero Academia: Heroes Rising,False,8.2,1030
18,False,/pt2zfjKf8vAOi7yd40HnewTNJyN.jpg,[37],754452,en,The Last Manhunt,"In 1909, Willie Boy and his love Carlota go on the run after he accidentally shoots her father in a confrontation gone terribly wrong. With President Taft coming to the area, the local sheriff leads two Native American trackers seeking justice for their “murdered” tribal leader.",90.883,/95Bn6HZBBJcG7LOBMAzNH0gmLih.jpg,2022-11-18,The Last Manhunt,False,5.8,22
19,False,/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,"[12, 18, 10751]",420818,en,The Lion King,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",106.651,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,2019-07-12,The Lion King,False,7.1,9006
0,False,/yLpMWckfrzRiNZxB2tgBa5TkUKh.jpg,"[12, 14, 10749]",50619,en,The Twilight Saga: Breaking Dawn - Part 1,The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,101.784,/qs8LsHKYlVRmJbFUiSUhhRAygwj.jpg,2011-11-16,The Twilight Saga: Breaking Dawn - Part 1,False,6.2,8012
1,False,/1wOu8rdvPxU1ObHi20VcRhfNpbo.jpg,"[12, 14, 28]",10195,en,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",116.012,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,2011-04-21,Thor,False,6.8,19418
2,False,/rcUcYzGGicDvhDs58uM44tJKB9F.jpg,"[16, 10751, 14, 28, 12]",527774,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",97.171,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,False,7.9,5928
3,False,/4840rkbpsiuow5ew155oVKcqJwj.jpg,[18],615,en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,114.584,/2C9vyK6leWDb2ds65R7uIwSmh8V.jpg,2004-02-25,The Passion of the Christ,False,7.4,3734
4,False,,"[35, 10749]",884605,en,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",122.422,/o5JrItLLqXrcwATXdumCF7XiSYR.jpg,2023-06-15,No Hard Feelings,False,0.0,0
5,False,/pwOVw2PEHwqypHbhBJFQe158Ljb.jpg,"[12, 28, 14]",564,en,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,91.239,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,1999-04-16,The Mummy,False,6.9,7986
6,False,/ttkibtcAjoilW1PbTIFy9U9YOdB.jpg,"[53, 28]",916719,en,Code Name Banshee,"Caleb, a former government assassin in hiding, who resurfaces when his protégé, the equally deadly killer known as Banshee, discovers a bounty has been placed on Caleb's head.",130.55,/lxkvlIrvExeHGiPk7bdji2xm3vs.jpg,2022-07-01,Code Name Banshee,False,5.4,63
7,False,/8UcyraT9NtIcTzJCqn90cAHWsEq.jpg,"[9648, 53, 27]",982620,en,Maneater,A group of friends on vacation in a seeming island paradise are stalked by an unrelenting great white after an accident leaves them stranded and left for dead.,95.733,/pwf3DGuWB1AptvIzHhlGxDUNnQX.jpg,2022-08-26,Maneater,False,5.0,42
8,False,/wUwizGzbTk5CTiKBnE4Pq1MONwD.jpg,"[16, 12, 10751, 14]",560057,en,The Sea Beast,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",114.743,/9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg,2022-06-24,The Sea Beast,False,7.5,1089
9,False,/xXSjMjCdZ6v7NIFvsSMNqe4ySkF.jpg,[27],1032950,pl,Ostatnia Wieczerza,"In a monastery cut off from the world, the monks run a clinic for the possessed. One day, a young policeman Marek comes to the convent. Posing as a clergyman, he penetrates monastic life and tries to explain the recent, mysterious disappearance of several tormented inmates. It turns out, however, that there is no way out of the monastery.",148.386,/y47wBamj9vdqBeGaLEFTrYEPTeC.jpg,2022-10-26,Hellhole,False,6.0,195
